observationAbout,observationDate,value,variableMeasured,unit,measurementMethod
country/BLZ,2020,0.0046,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/BLZ,2021,696500000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/BLZ,2021,0.0032,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/BLZ,2021,-31.08,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/BEN,2020,22974400000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/BEN,2020,0.1035,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/BEN,2021,41024500000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/BEN,2021,0.19,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/BEN,2021,78.57,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/BMU,2020,175900000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/BMU,2020,0.0008,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/BMU,2021,331100000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/BMU,2021,0.0015,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/BMU,2021,88.27,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/BTN,2020,52352900000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/BTN,2020,0.2358,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/BTN,2021,51932200000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/BTN,2021,0.2405,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/BTN,2021,-0.8,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/BOL,2020,8038900000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/BOL,2020,0.0362,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/BOL,2021,6962000000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/BOL,2021,0.0322,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/BOL,2021,-13.4,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/BIH,2020,1084800000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/BIH,2020,0.0049,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/BIH,2021,1116100000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/BIH,2021,0.0052,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/BIH,2021,2.89,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/BWA,2020,12653200000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/BWA,2020,0.057,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/BWA,2021,12741200000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/BWA,2021,0.059,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/BWA,2021,0.7,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/VGB,2020,35100000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/VGB,2020,0.0002,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/VGB,2021,18800000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/VGB,2021,0.0001,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/VGB,2021,-46.38,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/BRA,2020,281182400000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/BRA,2020,1.2667,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/BRA,2021,313603400000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/BRA,2021,1.4525,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/BRA,2021,11.53,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/BRN,2020,4090700000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/BRN,2020,0.0184,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/BRN,2021,4646900000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/BRN,2021,0.0215,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/BRN,2021,13.59,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/BGR,2020,11242000000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/BGR,2020,0.0506,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/BGR,2021,12603200000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/BGR,2021,0.0584,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/BGR,2021,12.11,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/BFA,2020,10907500000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
