observationAbout,observationDate,value,variableMeasured,unit,measurementMethod,#input
country/IND,1982,6105622,dcid:Count_Worker_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data3.csv:2:1
country/IND,1982,7894254,dcid:Count_Person_Factory_TotalEngaged,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data3.csv:2:2
country/IND,1983,6312673,dcid:Count_Worker_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data3.csv:3:1
country/IND,1983,8166168,dcid:Count_Person_Factory_TotalEngaged,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data3.csv:3:2
country/IND,1984,6158837,dcid:Count_Worker_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data3.csv:4:1
country/IND,1984,7994406,dcid:Count_Person_Factory_TotalEngaged,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data3.csv:4:2
country/IND,1985,6091409,dcid:Count_Worker_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data3.csv:5:1
country/IND,1985,7981370,dcid:Count_Person_Factory_TotalEngaged,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data3.csv:5:2
country/IND,1986,5819169,dcid:Count_Worker_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data3.csv:6:1
country/IND,1986,7584007,dcid:Count_Person_Factory_TotalEngaged,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data3.csv:6:2
country/IND,1987,5806866,dcid:Count_Worker_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data3.csv:7:1
country/IND,1987,7548755,dcid:Count_Person_Factory_TotalEngaged,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data3.csv:7:2
country/IND,1988,6061786,dcid:Count_Worker_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data3.csv:8:1
country/IND,1988,7903826,dcid:Count_Person_Factory_TotalEngaged,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data3.csv:8:2
country/IND,1989,6026328,dcid:Count_Worker_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data3.csv:9:1
country/IND,1989,7858281,dcid:Count_Person_Factory_TotalEngaged,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data3.csv:9:2
country/IND,1990,6326541,dcid:Count_Worker_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data3.csv:10:1
country/IND,1990,8256712,dcid:Count_Person_Factory_TotalEngaged,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data3.csv:10:2
country/IND,1991,6307143,dcid:Count_Worker_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data3.csv:11:1
