observationAbout,observationDate,value,variableMeasured,unit,measurementMethod
country/IND,2020,5.5799,dcid:Exports_EconomicActivity_OrganicChemicals_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,1331403700000,dcid:Exports_EconomicActivity_OrganicChemicals,INR,ExportsInUSD
country/IND,2021,6.1666,dcid:Exports_EconomicActivity_OrganicChemicals_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,7.49,dcid:GrowthRate_Exports_EconomicActivity_OrganicChemicals,Percent,ExportsInUSD
country/IND,2020,1154730300000,dcid:Exports_EconomicActivity_PharmaceuticalProducts,INR,ExportsInUSD
country/IND,2020,5.2018,dcid:Exports_EconomicActivity_PharmaceuticalProducts_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,1437383900000,dcid:Exports_EconomicActivity_PharmaceuticalProducts,INR,ExportsInUSD
country/IND,2021,6.6575,dcid:Exports_EconomicActivity_PharmaceuticalProducts_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,24.48,dcid:GrowthRate_Exports_EconomicActivity_PharmaceuticalProducts,Percent,ExportsInUSD
country/IND,2020,8367600000,dcid:Exports_EconomicActivity_Fertilizers,INR,ExportsInUSD
country/IND,2020,0.0377,dcid:Exports_EconomicActivity_Fertilizers_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,7790800000,dcid:Exports_EconomicActivity_Fertilizers,INR,ExportsInUSD
country/IND,2021,0.0361,dcid:Exports_EconomicActivity_Fertilizers_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,-6.89,dcid:GrowthRate_Exports_EconomicActivity_Fertilizers,Percent,ExportsInUSD
country/IND,2020,244094400000,dcid:Exports_EconomicActivity_TanningOrDyeingExtractsTanninsAndTheirDerivatives,INR,ExportsInUSD
country/IND,2020,1.0996,dcid:Exports_EconomicActivity_TanningOrDyeingExtractsTanninsAndTheirDerivatives_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,226598100000,dcid:Exports_EconomicActivity_TanningOrDyeingExtractsTanninsAndTheirDerivatives,INR,ExportsInUSD
country/IND,2021,1.0495,dcid:Exports_EconomicActivity_TanningOrDyeingExtractsTanninsAndTheirDerivatives_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,-7.17,dcid:GrowthRate_Exports_EconomicActivity_TanningOrDyeingExtractsTanninsAndTheirDerivatives,Percent,ExportsInUSD
country/IND,2020,155852300000,dcid:Exports_EconomicActivity_EssentialOilsAndResinoidsPerfumeryCosmeticOrToilet,INR,ExportsInUSD
country/IND,2020,0.7021,dcid:Exports_EconomicActivity_EssentialOilsAndResinoidsPerfumeryCosmeticOrToilet_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,141999000000,dcid:Exports_EconomicActivity_EssentialOilsAndResinoidsPerfumeryCosmeticOrToilet,INR,ExportsInUSD
country/IND,2021,0.6577,dcid:Exports_EconomicActivity_EssentialOilsAndResinoidsPerfumeryCosmeticOrToilet_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,-8.89,dcid:GrowthRate_Exports_EconomicActivity_EssentialOilsAndResinoidsPerfumeryCosmeticOrToilet,Percent,ExportsInUSD
country/IND,2020,44595900000,dcid:Exports_EconomicActivity_SoapOrganicSurfaceActiveAgentsWashingLubricating,INR,ExportsInUSD
country/IND,2020,0.2009,dcid:Exports_EconomicActivity_SoapOrganicSurfaceActiveAgentsWashingLubricating_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,52445500000,dcid:Exports_EconomicActivity_SoapOrganicSurfaceActiveAgentsWashingLubricating,INR,ExportsInUSD
country/IND,2021,0.2429,dcid:Exports_EconomicActivity_SoapOrganicSurfaceActiveAgentsWashingLubricating_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,17.6,dcid:GrowthRate_Exports_EconomicActivity_SoapOrganicSurfaceActiveAgentsWashingLubricating,Percent,ExportsInUSD
country/IND,2020,15821400000,dcid:Exports_EconomicActivity_AlbuminoidalSubstancesModifiedStarchesGluesEnzymes,INR,ExportsInUSD
country/IND,2020,0.0713,dcid:Exports_EconomicActivity_AlbuminoidalSubstancesModifiedStarchesGluesEnzymes_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,18629400000,dcid:Exports_EconomicActivity_AlbuminoidalSubstancesModifiedStarchesGluesEnzymes,INR,ExportsInUSD
country/IND,2021,0.0863,dcid:Exports_EconomicActivity_AlbuminoidalSubstancesModifiedStarchesGluesEnzymes_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,17.75,dcid:GrowthRate_Exports_EconomicActivity_AlbuminoidalSubstancesModifiedStarchesGluesEnzymes,Percent,ExportsInUSD
