observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2022,wikidataId/Q1164,dcid:NDAP_MilkProduction_Statewise,1006000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2023,wikidataId/Q1164,dcid:NDAP_MilkProduction_Statewise,1092000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2001,wikidataId/Q1165,dcid:NDAP_MilkProduction_Statewise,2664000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2002,wikidataId/Q1165,dcid:NDAP_MilkProduction_Statewise,2869000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2003,wikidataId/Q1165,dcid:NDAP_MilkProduction_Statewise,3180000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2004,wikidataId/Q1165,dcid:NDAP_MilkProduction_Statewise,4743000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2005,wikidataId/Q1165,dcid:NDAP_MilkProduction_Statewise,5060000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2006,wikidataId/Q1165,dcid:NDAP_MilkProduction_Statewise,5451000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2007,wikidataId/Q1165,dcid:NDAP_MilkProduction_Statewise,5783000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2008,wikidataId/Q1165,dcid:NDAP_MilkProduction_Statewise,5934000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2009,wikidataId/Q1165,dcid:NDAP_MilkProduction_Statewise,6124000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2010,wikidataId/Q1165,dcid:NDAP_MilkProduction_Statewise,6517000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2011,wikidataId/Q1165,dcid:NDAP_MilkProduction_Statewise,6643000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2012,wikidataId/Q1165,dcid:NDAP_MilkProduction_Statewise,6845000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2013,wikidataId/Q1165,dcid:NDAP_MilkProduction_Statewise,7197000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2014,wikidataId/Q1165,dcid:NDAP_MilkProduction_Statewise,7775000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2015,wikidataId/Q1165,dcid:NDAP_MilkProduction_Statewise,8288000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2016,wikidataId/Q1165,dcid:NDAP_MilkProduction_Statewise,8711000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2017,wikidataId/Q1165,dcid:NDAP_MilkProduction_Statewise,9242000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2018,wikidataId/Q1165,dcid:NDAP_MilkProduction_Statewise,9818000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2019,wikidataId/Q1165,dcid:NDAP_MilkProduction_Statewise,10480000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2020,wikidataId/Q1165,dcid:NDAP_MilkProduction_Statewise,11502000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2021,wikidataId/Q1165,dcid:NDAP_MilkProduction_Statewise,12253000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2022,wikidataId/Q1165,dcid:NDAP_MilkProduction_Statewise,12503000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2023,wikidataId/Q1165,dcid:NDAP_MilkProduction_Statewise,12853000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2001,wikidataId/Q1168,dcid:NDAP_MilkProduction_Statewise,795000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2002,wikidataId/Q1168,dcid:NDAP_MilkProduction_Statewise,804000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2003,wikidataId/Q1168,dcid:NDAP_MilkProduction_Statewise,812000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2004,wikidataId/Q1168,dcid:NDAP_MilkProduction_Statewise,831000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2005,wikidataId/Q1168,dcid:NDAP_MilkProduction_Statewise,839000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2006,wikidataId/Q1168,dcid:NDAP_MilkProduction_Statewise,849000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
