observationAbout,observationDate,value,variableMeasured,unit,measurementMethod
country/IND,2021,617130000,dcid:Exports_EconomicActivity_PreparationsOfCerealsFlourStarchOrMilkPastrycooks,USDollar,ExportsInUSD
country/IND,2021,0.2115,dcid:Exports_EconomicActivity_PreparationsOfCerealsFlourStarchOrMilkPastrycooks_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,16.18,dcid:GrowthRate_Exports_EconomicActivity_PreparationsOfCerealsFlourStarchOrMilkPastrycooks,Percent,ExportsInUSD
country/IND,2020,623650000,dcid:Exports_EconomicActivity_PreparationsOfVegetablesFruitNutsOrOtherPartsOf,USDollar,ExportsInUSD
country/IND,2020,0.199,dcid:Exports_EconomicActivity_PreparationsOfVegetablesFruitNutsOrOtherPartsOf_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,702670000,dcid:Exports_EconomicActivity_PreparationsOfVegetablesFruitNutsOrOtherPartsOf,USDollar,ExportsInUSD
country/IND,2021,0.2408,dcid:Exports_EconomicActivity_PreparationsOfVegetablesFruitNutsOrOtherPartsOf_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,12.67,dcid:GrowthRate_Exports_EconomicActivity_PreparationsOfVegetablesFruitNutsOrOtherPartsOf,Percent,ExportsInUSD
country/IND,2020,834520000,dcid:Exports_EconomicActivity_MiscellaneousEdiblePreparations,USDollar,ExportsInUSD
country/IND,2020,0.2663,dcid:Exports_EconomicActivity_MiscellaneousEdiblePreparations_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,932860000,dcid:Exports_EconomicActivity_MiscellaneousEdiblePreparations,USDollar,ExportsInUSD
country/IND,2021,0.3197,dcid:Exports_EconomicActivity_MiscellaneousEdiblePreparations_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,11.78,dcid:GrowthRate_Exports_EconomicActivity_MiscellaneousEdiblePreparations,Percent,ExportsInUSD
country/IND,2020,254770000,dcid:Exports_EconomicActivity_BeveragesSpiritsAndVinegar,USDollar,ExportsInUSD
country/IND,2020,0.0813,dcid:Exports_EconomicActivity_BeveragesSpiritsAndVinegar_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,354700000,dcid:Exports_EconomicActivity_BeveragesSpiritsAndVinegar,USDollar,ExportsInUSD
country/IND,2021,0.1216,dcid:Exports_EconomicActivity_BeveragesSpiritsAndVinegar_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,39.22,dcid:GrowthRate_Exports_EconomicActivity_BeveragesSpiritsAndVinegar,Percent,ExportsInUSD
country/IND,2020,1167540000,dcid:Exports_EconomicActivity_FoodIndustriesResiduesAndWastesThereofPrepared,USDollar,ExportsInUSD
country/IND,2020,0.3726,dcid:Exports_EconomicActivity_FoodIndustriesResiduesAndWastesThereofPrepared_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,2020880000,dcid:Exports_EconomicActivity_FoodIndustriesResiduesAndWastesThereofPrepared,USDollar,ExportsInUSD
country/IND,2021,0.6925,dcid:Exports_EconomicActivity_FoodIndustriesResiduesAndWastesThereofPrepared_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,73.09,dcid:GrowthRate_Exports_EconomicActivity_FoodIndustriesResiduesAndWastesThereofPrepared,Percent,ExportsInUSD
country/IND,2020,905150000,dcid:Exports_EconomicActivity_TobaccoAndManufacturedTobaccoSubstitutesProducts,USDollar,ExportsInUSD
country/IND,2020,0.2889,dcid:Exports_EconomicActivity_TobaccoAndManufacturedTobaccoSubstitutesProducts_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,876710000,dcid:Exports_EconomicActivity_TobaccoAndManufacturedTobaccoSubstitutesProducts,USDollar,ExportsInUSD
country/IND,2021,0.3004,dcid:Exports_EconomicActivity_TobaccoAndManufacturedTobaccoSubstitutesProducts_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,-3.14,dcid:GrowthRate_Exports_EconomicActivity_TobaccoAndManufacturedTobaccoSubstitutesProducts,Percent,ExportsInUSD
country/IND,2020,1997780000,dcid:Exports_EconomicActivity_SaltSulphurEarthsStonePlasteringMaterialsLimeAnd,USDollar,ExportsInUSD
country/IND,2020,0.6375,dcid:Exports_EconomicActivity_SaltSulphurEarthsStonePlasteringMaterialsLimeAnd_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,2387530000,dcid:Exports_EconomicActivity_SaltSulphurEarthsStonePlasteringMaterialsLimeAnd,USDollar,ExportsInUSD
country/IND,2021,0.8182,dcid:Exports_EconomicActivity_SaltSulphurEarthsStonePlasteringMaterialsLimeAnd_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,19.51,dcid:GrowthRate_Exports_EconomicActivity_SaltSulphurEarthsStonePlasteringMaterialsLimeAnd,Percent,ExportsInUSD
country/IND,2020,3161360000,dcid:Exports_EconomicActivity_OresSlagAndAsh,USDollar,ExportsInUSD
country/IND,2020,1.0089,dcid:Exports_EconomicActivity_OresSlagAndAsh_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
